ESM_IndexOutOfBounds,ESM_NullPointer,ESM_ClassCast,ESM_Arithmetic,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,Number of Bugs
1,208,33,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0754386,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,527.0,691.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,276.0,1.0,48.0,13.0,1.0
1,208,33,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
16,85,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
1,36,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
3,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
1,10,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
0,44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
1,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,78.0,13.0,9.0,9.0,11.0,55.0,0.0645161,0.0889371,41.0,6.0,2.0,29.0,0.0751748,43.0,0.0,0.0,0.0,0.0,0.0,420.0,565.0,25.0,16.0,25.0,16.0,44.0,1.0,30.0,13.0,44.0,236.0,1.0,30.0,13.0,529.0,693.0,29.0,22.0,29.0,22.0,63.0,1.0,48.0,13.0,63.0,277.0,1.0,48.0,13.0,0.0
