ESM_IndexOutOfBounds,ESM_NullPointer,ESM_ClassCast,ESM_Arithmetic,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,Number of Bugs
0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,5.0,1.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,32.0,38.0,9.0,4.0,3.0,2.0,4.0,0.0,4.0,0.0,17.0,12.0,0.0,9.0,2.0,32.0,38.0,9.0,4.0,3.0,2.0,4.0,0.0,4.0,0.0,17.0,12.0,0.0,9.0,2.0,0.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,1.0,0.0,9.0,13.0,0.2,0.0909091,3.0,3.0,1.0,4.0,0.0909091,3.0,3.0,4.0,0.0,0.0,1.0,30.0,36.0,10.0,4.0,4.0,2.0,4.0,0.0,4.0,0.0,17.0,10.0,0.0,9.0,2.0,30.0,36.0,10.0,4.0,4.0,2.0,4.0,0.0,4.0,0.0,17.0,10.0,0.0,9.0,2.0,0.0
0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,7.0,1.0,0.0,9.0,13.0,0.2,0.0833333,3.0,3.0,1.0,4.0,0.0833333,3.0,3.0,4.0,0.0,0.0,1.0,33.0,40.0,9.0,4.0,3.0,2.0,4.0,0.0,4.0,0.0,17.0,13.0,0.0,9.0,2.0,33.0,40.0,9.0,4.0,3.0,2.0,4.0,0.0,4.0,0.0,17.0,13.0,0.0,9.0,2.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,0.0,1.0,4.0,0.333333,0.1875,3.0,3.0,1.0,2.0,0.1875,3.0,2.0,3.0,3.0,3.0,2.0,13.0,15.0,6.0,4.0,0.0,0.0,3.0,0.0,2.0,1.0,17.0,4.0,0.0,9.0,2.0,13.0,15.0,6.0,4.0,0.0,0.0,3.0,0.0,2.0,1.0,17.0,4.0,0.0,9.0,2.0,0.0
0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,6.0,0.166667,0.12,3.0,3.0,1.0,5.0,0.12,3.0,3.0,4.0,0.0,0.0,1.0,22.0,26.0,7.0,6.0,0.0,3.0,5.0,0.0,5.0,0.0,20.0,5.0,0.0,13.0,1.0,22.0,26.0,7.0,6.0,0.0,3.0,5.0,0.0,5.0,0.0,20.0,5.0,0.0,13.0,1.0,0.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,3.0,0.25,0.1875,3.0,3.0,1.0,3.0,0.1875,3.0,2.0,3.0,3.0,3.0,2.0,13.0,16.0,7.0,6.0,1.0,1.0,3.0,0.0,3.0,0.0,20.0,1.0,0.0,13.0,1.0,13.0,16.0,7.0,6.0,1.0,1.0,3.0,0.0,3.0,0.0,20.0,1.0,0.0,13.0,1.0,0.0
8,209,14,0,0.06,1.0,10.0,2.0,0.0562852,0.0619048,30.0,26.0,3.0,5.0,5.0,119.0,30.0,2.0,3.0,66.0,88.0,0.0769231,0.0411899,18.0,3.0,1.0,12.0,0.0409091,18.0,3.0,4.0,0.0,0.0,2.0,419.0,530.0,31.0,10.0,25.0,7.0,22.0,2.0,12.0,0.0,32.0,260.0,2.0,15.0,1.0,422.0,533.0,33.0,10.0,27.0,7.0,22.0,4.0,12.0,0.0,32.0,260.0,4.0,15.0,1.0,0.0
8,209,14,0,0.0601641,1.0,10.0,2.0,0.0562852,0.0619048,30.0,26.0,3.0,5.0,5.0,119.0,30.0,2.0,3.0,66.0,88.0,0.0769231,0.0411899,18.0,3.0,1.0,12.0,0.0409091,18.0,3.0,4.0,0.0,0.0,2.0,419.0,530.0,31.0,10.0,25.0,7.0,22.0,2.0,12.0,0.0,32.0,260.0,2.0,15.0,1.0,422.0,533.0,33.0,10.0,27.0,7.0,22.0,4.0,12.0,0.0,32.0,260.0,4.0,15.0,1.0,1.0
8,209,14,0,0.0557432,1.0,10.0,2.0,0.0511945,0.0553191,30.0,26.0,3.0,5.0,5.0,135.0,35.0,1.0,0.0,93.0,117.0,0.0833333,0.0329897,16.0,3.0,1.0,11.0,0.0327869,16.0,3.0,4.0,0.0,0.0,2.0,469.0,583.0,30.0,10.0,23.0,7.0,24.0,0.0,11.0,0.0,34.0,295.0,0.0,14.0,1.0,472.0,586.0,32.0,10.0,25.0,7.0,24.0,2.0,11.0,0.0,34.0,295.0,2.0,14.0,1.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
